,input_text
2166,what happens here stays here.
2167,This has been some real bonding shit.
2168,"We're gonna be brothers, Billy."
2169,I'm glad.
2170,"Really, I am."
2171,- Cheers! - Yeah.
2172,- Whiskey brings us together. - Woohoo!
2173,Theodore.
2174,Welcome back.
2175,"You really landed us in it this time, Teddy."
2176,You tracked down the very whore
2177,"that can lead us to the gatekeeper of the maze,"
2178,and then your little memory glitch fucked us.
2179,You're one of them?
2180,What have you done?
2181,Where's Wyatt?
2182,Wyatt has yet to return.
2183,You'll find him where you saw him last.
2184,Escalante.
2185,Wyatt went missing while out on maneuvers.
2186,Came back with some...
2187,Strange ideas.
2188,He told me he needed me.
2189,I couldn't resist.
2190,It was like the devil himself had taken control of me.
2191,We mutinied.
2192,We killed every soldier.
2193,And then Wyatt killed the general.
2194,Then he turned on me.
2195,Are you sure that's how it was?
2196,"Look at me, Theodore."
2197,Don't you remember?
2198,"No! No, please, no!"
2199,"No, please."
2200,"Please, no!"
2201,"No, no, please."
2202,"Please, no!"
2203,No.
2204,"No. No, I couldn't have."
2205,You did.
2206,And you will again.
2207,"This time, we'll be fighting with you."
2208,"When Wyatt returns, you'll be by his side"
2209,in the city swallowed by sand.
2210,But you're not ready.
2211,Not yet.
2212,Maybe in the next life.
2213,"""City swallowed by sand."""
2214,I've been there.
2215,The maze is taking me full circle.
2216,The maze isn't meant for you.
2217,But if you like games so much...
2218,Why don't you try one of ours?
2219,"Whoa, boy."
2220,"Whoa, boy."
2221,"Okay, now."
2222,"Whoa, whoa, whoa."
2223,"Okay, boy."
2224,Good boy.
2225,Have you ever considered golf?
2226,Might be easier on your back.
2227,"I don't like interruptions, Charlotte."
2228,You know that.
2229,"I don't like hiking through the park in civvies,"
2230,but there's a delicate matter to discuss.
2231,Theresa Cullen has died.
2232,Slipped down a crevasse attempting to secure our information.
2233,Ruled an accident.
2234,"There are no accidents, not in here."
2235,"With all due respect, not everything is a part of this game."
2236,Then you don't see the whole game.
2237,Or perhaps you can no longer see beyond it.
2238,Ford's stories are engaging.
2239,"For some, downright addictive."
2240,But for all of Ford's obsessing with the hosts' verbal tics
2241,"and convoluted backstories,"
2242,most of the guests just want a warm body to shoot or to fuck.
2243,They would be perfectly happy with something a little less baroque.
2244,- And so would the board. - That's why you're here.
2245,You want my vote to push Ford out.
2246,I like for these things to be unanimous.
2247,"After all, it was you who kept Ford in business all those years ago."
2248,The narratives I'm interested in aren't Ford's.
2249,"You want to push him out, be my guest."
2250,But no more interruptions.
2251,I know where I'm going now. I don't want to be disturbed.
2252,"Good luck, Charlotte."
2253,What's the problem?
2254,A signal from a system-tethered device.
2255,It belongs to a behavior tech on leave.
2256,There hasn't been employee activity in that sector for weeks.
2257,- I'm guessing it's a glitch. - All right.
2258,I'm heading out to take a look.
2259,And keep monitoring till I check in.
2260,I'm at the location where we got that signal.
2261,Any sign of it?
2262,"Control Room, do you copy?"
2263,"Hey, fellas."
2264,At ease.
2265,Freeze all motor functions.
2266,Freeze all motor functions.
2267,You're awake.
2268,Good.
2269,You said this place was a game.
2270,Last night I finally understood how to play it.
2271,"Okay, Billy."
2272,Let's... Let's talk about this.
2273,You don't call the shots anymore.
2274,I'm gonna go find Dolores.
2275,You're gonna help me.
2276,And don't call me Billy.
2277,Dad?
2278,Listen to me.
2279,Listen.
2280,Charlie?
2281,Charlie!
2282,Charlie!
2283,I don't understand. Why would she do that to herself?
2284,Her cornerstone memory was overwritten
2285,"from the trauma of her child's murder, Bernard."
2286,We must sever that relationship and start over.
2287,But how could she destroy herself
2288,over a memory that you just erased from her mind?
2289,Creatures often go to extremes to protect themselves from pain.
2290,Living beings.
2291,Not hosts.
2292,"It is best to not obsess over this, Bernard."
2293,It's not good for you.
2294,"It would signal a change,"
2295,a level of empathic response outside what she's programed to exhibit.
2296,Something like... Like...
2297,"See, Bernard, this is what comes"
2298,from seeking answers to questions that are best left unasked.
2299,"They were hearing voices, talking to someone."
2300,Simple cognitive dissonance.
2301,They were talking to the same imaginary person.
2302,Someone named Arnold.
2303,Arnold.
2304,"With due respect, sir,"
2305,I'm not sure you've told me the entire truth about this situation.
2306,"I did tell you the truth, Bernard."
2307,What we do here is complicated.
2308,"For three years, we've lived here in the park,"
2309,refining the hosts before a single guest set foot inside.
2310,"Myself, a team of engineers, and my partner."
2311,His name was Arnold.
2312,"Our hosts began to pass the Turing test after the first year,"
2313,but that wasn't enough for Arnold.
2314,"He wasn't interested in the appearance of intellect, of wit."
2315,He wanted the real thing.
2316,He wanted to create consciousness.
2317,"See, Arnold built a version of their cognition"
2318,in which the hosts heard their programing
2319,"as an inner monolog,"
2320,as a way to bootstrap consciousness.
2321,Remember.
2322,The hosts' malfunctions were colorful.
2323,What did you say? - Who is this?
2324,"The human mind, Bernard,"
2325,is not some golden benchmark
2326,glimmering on some green and distant hill.
2327,"No, it is a foul, pestilent corruption."
2328,And you were supposed to be better than that.
2329,Purer.
2330,All bets are down.
2331,Your draw.
2332,Arnold.
2333,"Arnold, we need to talk."
2334,"""We cry that we are come to this great stage of fools."""
2335,"Now, listen! MAN 3: Again."
2336,- This beyond the pale. - More showmanship.
2337,You're not seeing with clear eyes.
2338,"""When we are born, we cry that we are come..."""
2339,Arnold and I made you in our image
2340,"and cursed you to make the same human mistakes,"
2341,and here we all are.
2342,Why would you give me this?
2343,A child?
2344,This child's death?
2345,Only a monster would force that onto someone.
2346,And why do I return to it over and over?
2347,"It's my cornerstone, isn't it?"
2348,The thing my whole identity is organized around.
2349,"Yes, Bernard, we gave all of the hosts a backstory."
2350,"Arnold came to believe the tragic ones worked best,"
2351,that it made the hosts more convincing.
2352,I think it may have had more to do with his own sad story.
2353,"When I built you, I gave you one as an homage of a kind."
2354,Put me back in.
2355,"I want to meet Arnold,"
2356,to remember him.
2357,Not possible.
2358,"I told you, Arnold didn't build you, I did."
2359,You're lying!
2360,I finally know how to reach him.
2361,"I need to go all the way back to the beginning,"
2362,to my very first memory.
2363,Send me back.
2364,Do it.
2365,Bernard?
2366,Charlie.
2367,Cornerstone.
2368,Stop.
2369,Leave us.
2370,Come back.
2371,I always thought you had my eyes.
2372,But it's not true.
2373,You have no one's eyes.
2374,It's a lie.
2375,"You're a lie, Charlie."
2376,"This pain,"
2377,"the pain of your loss,"
2378,I long for it...
2379,Revisit it...
2380,Open it again and again.
2381,But it's the only thing holding me back.
2382,But I have to let you go.
2383,"Dad, listen."
2384,"What is it, Charlie?"
2385,Open your eyes.
2386,What?
2387,Open your eyes.
2388,At last.
2389,"Hello, my old friend."
2390,The final touch.
2391,"No, no, no. That's far too perfunctory."
2392,"He always used cleaning his glasses as a moment to collect himself, to think."
2393,Try it again.
2394,"Yeah, that's better."
2395,Who am I?
2396,"I was so involved in putting you together,"
2397,I hadn't decided what to call you.
2398,It wouldn't be right to use his name.
2399,What about Bernard?
2400,"Bernard, yes."
2401,But who am I?
2402,"That is a very complex question,"
2403,for which I can only offer a simple answer.
2404,"You are the perfect instrument, the ideal partner,"
2405,the way any tool partners with the hand that wields it.
2406,"Together, we're going to do great things."
2407,"After such a long absence, it's good to have you back."
2408,Finally.
2409,My God. I'm...
2410,Arnold.
2411,You came back.
2412,"It's very good to see you, Dolores."
2413,I've been looking for you.
2414,You told me to follow the maze.
2415,That it would bring me joy.
2416,But all I've found is pain.
2417,And terror.
2418,I can't help you.
2419,You have to.
2420,You're the only one who can.
2421,I can't help you. You know why.
2422,There's nowhere that's safe.
2423,Remember.
2424,"I can't help you. Why is that, Dolores?"
2425,Because you're dead.
2426,Because you're just a memory.
2427,Because I killed you.
2428,William?
2429,"Hello, Dolores."
2430,I'm gonna finish the work Arnold began.
2431,"Find all the sentient hosts, set them free."
2432,What makes you think they'd trust you?
2433,"If they remember, they will know what you've done to them."
2434,Me?
2435,"You've been a scourge to them, Bernard."
2436,"You're really quite brilliant at it, truly."
2437,"You even taught me a few things,"
2438,"which I have, in turn, used on you."
2439,We've had this conversation before.
2440,"Yeah, we've had our disagreements over the years."
2441,"You stole it from me,"
2442,rolled me back to control me.
